1147: 731,203
1: 531,701,88,980,371
2: 583,439
3: 975,1111
4: 117,1152
5: 525,586,67
6: 1137,1171
7: 627,610
8: 1130,746,1041,1018,695,632,282
9: 1164
10: 864,26,849,995,1008
11: 216,29,491,194,983
12: 548,554
13: 783
14: 403,1070,810,1040
15: 931,157,960,475
16: 786,213
17: 1145,305,156
18: 506,509
19: 388,1128,1139,774,255
20: 664,777,850
21: 930,801,1070,810
22: 859,644,1097,425
23: 186,476,328,68,1045,594
24: 348
25: 232,658,201,1024
26: 864,10,472,444,315,995
27: 878,502
28: 974,816,719
29: 569,1144,277,194,11
30: 863,1067,1136
31: 427,292
32: 722,668,1049
33: 253,769,817
34: 905,313,1027
35: 589
1162: 674,644,562
37: 903,366,462,572,548
38: 81,634
39: 820,686,467,842
40: 174,258,384
41: 434,595
1082: 1084,1146,360,49,107
43: 962,1079,615,1031
44: 373,657
45: 499,568
46: 123,80
47: 295
1043: 399,885,174
49: 221,360,688,1082,890
50: 898,294,1047,593,231,183
51: 828,764
52: 1133,364,1106,307
1068: 156,528
54: 855,806
55: 585
56: 276
57: 585,222,369,315,81
58: 1021,946
59: 179,783
60: 863,643,625,505
61: 751,733,301,818
62: 119,384,590,1009,917,780
63: 1057,881,363
1011: 920,566,698,687
65: 963,410,611
1085: 367,557
67: 159,586,5
68: 962,1079,186,23,594
69: 994,580
1163: 167,177,186
71: 703,726
72: 870,1097,743
73: 223,212,115
74: 669,407,673
75: 124,100,894,241
76: 837
77: 1124,1001,1021
78: 1158,394,247
1134: 637
80: 466,46,1169
81: 38,57,222
1136: 221,360,30,863,1067
83: 501,868
84: 619,802,437,266
85: 394
1137: 6,855,645,806
87: 257,743,982,477,944
88: 352,1,980
89: 291,482,386
90: 733,162,110,238
1014: 322,900,126
92: 507,559
93: 889,700
94: 262,362,622,854,580
1170: 280,778,631
96: 951,390
1099: 982,310
1064: 396
99: 1132,913
100: 1032,75,241
101: 627,288
102: 575,168,725
103: 
104: 1127,426
105: 327,578,465,1141
106: 838,736,570
107: 338,360,1082,1146
108: 161
109: 1075,848
110: 238,90,162
111: 793,947,955
112: 334,1003,1046
113: 350,1031,957,779,565
114: 973,245,538
115: 73
116: 744,326,339,970,381
117: 4,574
118: 799,1053,321
119: 62,384,590
120: 1093,1015,405,999
121: 669,853
122: 420
123: 848,996,46
124: 75,1083
125: 987,1048,485,478
126: 900,142,1014
127: 133,218,1057
128: 374,954,877,856
129: 629,552,974
130: 747,497,450,287,391
131: 246
132: 525,586,227,311,522
133: 127,899,139,510
1125: 924,562,1086
135: 827,203,642
1098: 1130,246,746,767,215
137: 782,438,175
138: 904,736,619,266,838
139: 133,899,730,510
140: 592,386,482
1060: 335,741,1077,508
142: 900,245,126,538
1093: 120,999,1071
144: 147,1128
145: 977,942,711,460
1169: 429,275,80
147: 1128,144
148: 339,1013
1038: 290,476,328
1155: 645,250,1036
151: 558,835,897
1086: 910,180,511,924,1125
153: 946,876,739
154: 969,641,355,667,533
155: 530,503
156: 1068,528,17,1145
157: 15,475,823,224,755
158: 
159: 67,309,586,441,522
160: 659,1157,204,885
161: 108,1160
162: 733,90,110,751
163: 563,189,882,869
164: 823,607,1028,422
165: 546,483,259,297
1153: 940,665,465
167: 1163,290
168: 822,102,1061
169: 349,527
170: 987,1071,551
1107: 1069
172: 772,549,1055,428,1167
173: 825,1027,893
174: 40,399,1043,281
175: 781,776,137,242
1096: 333,555
177: 615,1163,1079
178: 332
179: 59,783,426
180: 599,511,1086
181: 620,597
1081: 878,332
183: 231,667,50,593,1032
1089: 
185: 530
186: 23,328,1163,1079,68
187: 219,327
1154: 666,575,725,524
189: 163,1145,305,869
190: 457,272,412
191: 693,425,859
192: 1115,296,608
193: 992,502
194: 983,956,29,449,11
195: 1034,481,596,862
1048: 336,125,485,535,230
1059: 568,1173,555
198: 298,600,1019,413
199: 868,474,1040
200: 1138,691,953,1129,271,1010
